timestamp,battery_value,tensao,corrente
2025-06-13 18:03:25,99,4051,6
2025-06-13 18:03:52,99,4051,6
2025-06-13 18:04:18,99,4051,6
2025-06-13 18:04:44,99,4050,6
2025-06-13 18:05:10,99,4050,6
2025-06-13 18:05:37,99,4049,6
2025-06-13 18:06:03,99,4049,6
2025-06-13 18:06:29,99,4049,6
2025-06-13 18:06:55,99,4049,6
2025-06-13 18:07:22,99,4048,6
2025-06-13 18:07:48,99,4048,6
2025-06-13 18:08:14,99,4047,6
2025-06-13 18:08:40,99,4047,6
2025-06-13 18:09:06,99,4047,6
2025-06-13 18:09:33,99,4046,6
2025-06-13 18:09:59,99,4046,6
2025-06-13 18:10:25,99,4046,6
2025-06-13 18:10:51,99,4046,6
2025-06-13 18:11:17,99,4045,5
2025-06-13 18:11:44,99,4045,5
2025-06-13 18:12:10,99,4044,5
2025-06-13 18:12:36,99,4044,5
2025-06-13 18:13:02,99,4044,6
2025-06-13 18:13:29,99,4044,6
2025-06-13 18:13:55,99,4044,6
2025-06-13 18:14:21,99,4043,6
2025-06-13 18:14:47,99,4043,6
2025-06-13 18:15:13,99,4042,6
2025-06-13 18:15:40,99,4042,6
2025-06-13 18:16:06,99,4042,6
2025-06-13 18:16:32,99,4042,6
2025-06-13 18:16:58,99,4041,6
2025-06-13 18:17:24,99,4041,6
2025-06-13 18:17:51,99,4040,6
2025-06-13 18:18:17,99,4040,6
2025-06-13 18:18:43,99,4040,6
2025-06-13 18:19:09,99,4040,6
2025-06-13 18:19:36,99,4040,6
2025-06-13 18:20:02,99,4039,6
2025-06-13 18:20:28,99,4039,6
2025-06-13 18:20:54,99,4038,6
2025-06-13 18:21:20,99,4038,6
2025-06-13 18:21:47,99,4038,6
2025-06-13 18:22:13,99,4038,6
2025-06-13 18:22:39,99,4037,6
2025-06-13 18:23:05,99,4037,6
2025-06-13 18:23:32,99,4037,6
2025-06-13 18:23:58,99,4036,6
2025-06-13 18:24:24,99,4036,6
2025-06-13 18:24:50,99,4036,6
2025-06-13 18:25:16,99,4036,6
2025-06-13 18:25:42,99,4035,6
2025-06-13 18:26:09,99,4035,6
2025-06-13 18:26:35,99,4035,6
2025-06-13 18:27:01,99,4035,6
2025-06-13 18:27:27,99,4034,6
2025-06-13 18:27:53,99,4034,6
2025-06-13 18:28:20,99,4034,6
2025-06-13 18:28:46,99,4034,6
2025-06-13 18:29:12,99,4034,6
2025-06-13 18:29:38,99,4033,6
2025-06-13 18:30:04,99,4033,6
2025-06-13 18:30:31,99,4032,6
2025-06-13 18:30:57,99,4032,6
2025-06-13 18:31:23,99,4032,6
2025-06-13 18:31:49,99,4032,6
2025-06-13 18:32:15,99,4031,6
2025-06-13 18:32:42,99,4031,6
2025-06-13 18:33:08,99,4031,6
2025-06-13 18:33:34,99,4031,6
2025-06-13 18:34:00,99,4031,6
2025-06-13 18:34:26,99,4030,6
2025-06-13 18:34:53,99,4030,6
2025-06-13 18:35:19,99,4030,6
2025-06-13 18:35:45,99,4030,6
2025-06-13 18:36:11,99,4029,6
2025-06-13 18:36:37,99,4029,6
2025-06-13 18:37:04,99,4029,6
2025-06-13 18:37:30,99,4029,6
2025-06-13 18:37:56,99,4029,6
2025-06-13 18:38:22,99,4028,6
2025-06-13 18:38:48,99,4028,6
2025-06-13 18:39:15,99,4028,6
2025-06-13 18:39:41,99,4028,6
2025-06-13 18:40:07,99,4027,6
2025-06-13 18:40:33,99,4027,6
2025-06-13 18:40:59,99,4027,6
2025-06-13 18:41:26,99,4027,6
2025-06-13 18:41:52,99,4026,6
2025-06-13 18:42:18,99,4026,6
2025-06-13 18:42:44,99,4026,6
2025-06-13 18:43:10,99,4026,6
2025-06-13 18:43:37,99,4026,6
2025-06-13 18:44:03,99,4025,6
2025-06-13 18:44:29,99,4025,6
2025-06-13 18:44:55,99,4025,6
2025-06-13 18:45:21,99,4025,6
2025-06-13 18:45:48,99,4024,6
2025-06-13 18:46:14,99,4024,6
2025-06-13 18:46:40,99,4024,6
2025-06-13 18:47:06,99,4024,6
2025-06-13 18:47:33,99,4024,6
2025-06-13 18:47:59,99,4023,6
2025-06-13 18:48:25,99,4023,6
2025-06-13 18:48:51,99,4023,6
2025-06-13 18:49:17,99,4023,6
2025-06-13 18:49:44,99,4022,6
2025-06-13 18:50:10,99,4022,6
2025-06-13 18:50:36,99,4022,6
2025-06-13 18:51:02,99,4022,6
2025-06-13 18:51:28,99,4022,6
2025-06-13 18:51:55,99,4021,6
2025-06-13 18:52:21,99,4021,6
2025-06-13 18:52:47,99,4021,6
2025-06-13 18:53:13,99,4021,6
2025-06-13 18:53:39,99,4020,6
2025-06-13 18:54:06,99,4020,6
2025-06-13 18:54:32,99,4020,6
2025-06-13 18:54:58,99,4020,6
2025-06-13 18:55:24,99,4019,6
2025-06-13 18:55:50,99,4019,6
2025-06-13 18:56:16,99,4019,6
2025-06-13 18:56:43,99,4019,6
2025-06-13 18:57:09,99,4019,6
2025-06-13 18:57:35,99,4018,6
2025-06-13 18:58:01,99,4018,6
2025-06-13 18:58:27,99,4017,6
2025-06-13 18:58:54,99,4017,6
2025-06-13 18:59:20,99,4017,6
2025-06-13 18:59:46,99,4017,6
2025-06-13 19:00:12,99,4016,6
2025-06-13 19:00:38,99,4016,6
2025-06-13 19:01:05,99,4016,6
2025-06-13 19:01:31,99,4016,6
2025-06-13 19:01:57,99,4016,6
2025-06-13 19:02:23,99,4015,6
2025-06-13 19:02:50,99,4015,6
2025-06-13 19:03:16,99,4015,6
2025-06-13 19:03:42,99,4015,6
2025-06-13 19:04:08,99,4014,6
2025-06-13 19:04:34,99,4014,6
2025-06-13 19:05:01,99,4014,6
2025-06-13 19:05:27,99,4014,6
2025-06-13 19:05:53,99,4014,6
2025-06-13 19:06:19,99,4013,6
2025-06-13 19:06:45,99,4013,6
2025-06-13 19:07:12,99,4013,6
2025-06-13 19:07:38,99,4013,6
2025-06-13 19:08:04,99,4012,6
2025-06-13 19:08:30,99,4012,6
2025-06-13 19:08:56,99,4012,6
2025-06-13 19:09:23,99,4012,6
2025-06-13 19:09:49,99,4011,6
2025-06-13 19:10:15,99,4011,6
2025-06-13 19:10:41,99,4011,6
2025-06-13 19:11:08,99,4010,6
2025-06-13 19:11:34,99,4010,6
2025-06-13 19:12:00,99,4010,6
2025-06-13 19:12:26,99,4010,6
2025-06-13 19:12:52,99,4009,6
2025-06-13 19:13:19,99,4009,6
2025-06-13 19:13:45,99,4009,6
2025-06-13 19:14:11,99,4009,6
2025-06-13 19:14:37,99,4008,6
2025-06-13 19:15:04,99,4008,6
2025-06-13 19:15:30,99,4008,6
2025-06-13 19:15:56,99,4007,6
2025-06-13 19:16:22,99,4007,6
2025-06-13 19:16:48,99,4007,6
2025-06-13 19:17:15,99,4007,6
2025-06-13 19:17:41,99,4006,6
2025-06-13 19:18:07,99,4006,6
2025-06-13 19:18:33,99,4006,6
2025-06-13 19:18:59,99,4006,6
2025-06-13 19:19:26,99,4005,6
2025-06-13 19:19:52,99,4005,6
2025-06-13 19:20:18,99,4005,6
2025-06-13 19:20:44,99,4004,6
2025-06-13 19:21:11,99,4004,6
2025-06-13 19:21:37,99,4004,6
2025-06-13 19:22:03,99,4004,6
2025-06-13 19:22:29,99,4003,6
2025-06-13 19:22:55,99,4003,6
2025-06-13 19:23:21,99,4003,6
2025-06-13 19:23:48,99,4003,6
2025-06-13 19:24:14,99,4002,6
2025-06-13 19:24:40,99,4002,6
2025-06-13 19:25:06,99,4002,6
2025-06-13 19:25:33,99,4001,6
2025-06-13 19:25:59,99,4001,6
2025-06-13 19:26:25,99,4001,6
2025-06-13 19:26:51,99,4001,6
2025-06-13 19:27:18,99,4000,6
2025-06-13 19:27:44,99,4000,6
2025-06-13 19:28:10,99,4000,6
2025-06-13 19:28:36,99,4000,6
2025-06-13 19:29:02,99,3999,6
2025-06-13 19:29:29,99,3999,6
2025-06-13 19:29:55,99,3999,6
2025-06-13 19:30:21,99,3998,6
2025-06-13 19:30:47,99,3998,6
2025-06-13 19:31:14,99,3998,6
2025-06-13 19:31:40,99,3998,6
2025-06-13 19:32:06,99,3997,6
2025-06-13 19:32:32,99,3997,6
2025-06-13 19:32:59,99,3996,6
2025-06-13 19:33:25,99,3996,6
2025-06-13 19:33:51,99,3996,6
2025-06-13 19:34:17,99,3996,6
2025-06-13 19:34:43,99,3996,6
2025-06-13 19:35:10,99,3995,6
2025-06-13 19:35:36,99,3995,6
2025-06-13 19:36:02,99,3994,6
2025-06-13 19:36:28,99,3994,6
2025-06-13 19:36:54,99,3994,6
2025-06-13 19:37:21,99,3994,6
2025-06-13 19:37:47,99,3993,6
2025-06-13 19:38:13,99,3993,6
2025-06-13 19:38:39,99,3993,6
2025-06-13 19:39:05,99,3993,6
2025-06-13 19:39:32,99,3993,6
2025-06-13 19:39:58,99,3992,6
2025-06-13 19:40:24,99,3992,6
2025-06-13 19:40:50,99,3991,6
2025-06-13 19:41:17,99,3991,6
2025-06-13 19:41:43,99,3991,6
2025-06-13 19:42:09,99,3991,6
2025-06-13 19:42:35,99,3990,6
2025-06-13 19:43:02,99,3990,6
2025-06-13 19:43:28,99,3990,6
2025-06-13 19:43:54,99,3989,6
2025-06-13 19:44:20,99,3989,6
2025-06-13 19:44:46,99,3989,6
2025-06-13 19:45:12,99,3989,6
2025-06-13 19:45:39,99,3988,6
